"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","ID_RANK","DATABASE","DATABASE_ID","GENUS_TAXON","SUBFAMILY_TAXON","FAMILY_TAXON","SUPERFAMILY_TAXON","INFRAORDER_TAXON","SUBORDER_TAXON","ORDER_TAXON","SUPERORDER_TAXON","INFRACLASS_TAXON","SUBCLASS_TAXON","CLASS_TAXON","SUPERCLASS_TAXON","SUBPHYLUM_TAXON","PHYLUM_TAXON","KINGDOM_TAXON","GROUP_CODE"
22204,"Liparis dennyi","marbled snailfish","species","WORMS","254550","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22205,"Liparis gibbus","variegated snailfish","species","WORMS","159526","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22206,"Crystallichthys cyclospilus","blotched snailfish","species","WORMS","280451","Crystallichthys","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22206
22207,"Liparis megacephalus","bighead snailfish","species","WORMS","274524","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22208,"Liparis pulchellus","showy snailfish","species","WORMS","274533","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22209,"Liparis callyodon","spotted snailfish","species","WORMS","274505","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22210,"Liparis ochotensis","Okhotsk snailfish","species","WORMS","274529","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22211,"Liparis cyclopus","ribbon snailfish","species","WORMS","274509","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22212,"Liparis fabricii","gelatinous seasnail","species","WORMS","127218","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22213,"Liparis rutteri","ringtail snailfish","species","WORMS","274538","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22214,"Elassodiscus sp.","","genus","WORMS","269048","Elassodiscus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22214
22215,"Elassodiscus caudatus","humpback snailfish","species","WORMS","280629","Elassodiscus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22214
22216,"Elassodiscus tremebundus","blacklip snailfish","species","WORMS","280631","Elassodiscus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22214
22217,"Allocareproctus jordani","cherry snailfish","species","WORMS","279555","Allocareproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22270
22218,"Allocareproctus tanix","peach snailfish","species","WORMS","279557","Allocareproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22270
22219,"Careproctus sp.","","genus","WORMS","126156","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22220,"Careproctus melanurus","blacktail snailfish","species","WORMS","254549","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22221,"Careproctus curilanus","Kuril snailfish","species","WORMS","274418","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22222,"Careproctus bowersianus","Bowers Bank snailfish","species","WORMS","274414","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22223,"Careproctus simus","proboscis snailfish","species","WORMS","274473","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22224,"Careproctus ectenes","shovelhead snailfish","species","WORMS","274424","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22225,"Careproctus canus","gray snailfish","species","WORMS","274416","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22226,"Careproctus phasma","monster snailfish","species","WORMS","274460","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22227,"Careproctus nelsoni","saddleback snailfish","species","WORMS","1493313","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22228,"Careproctus cypselurus","blackfin snailfish","species","WORMS","274421","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22229,"Careproctus furcellus","emarginate snailfish","species","WORMS","254548","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22230,"Careproctus abbreviatus","short snailfish","species","WORMS","274402","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22231,"Paraliparis ulochir","broadfin snailfish","species","WORMS","274612","Paraliparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22250
22232,"Careproctus scottae","peachskin snailfish","species","WORMS","274470","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22233,"Careproctus gilberti","smalldisk snailfish","species","WORMS","367288","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
22234,"Careproctus sp. cf. gilberti (Orr)","dominator snailfish","species","WORMS","","Careproctus","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22219
20871,"Bathylaco nigricans","bonythroat","species","WORMS","126688","Bathylaco","","Alepocephalidae","","","","Alepocephaliformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20871
20900,"Ophidiidae","cusk-eel unid.","family","WORMS","125505","","","Ophidiidae","","","","Ophidiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20900
20901,"Chilara taylori","spotted cusk-eel","species","WORMS","280146","Chilara","Ophidiinae","Ophidiidae","","","","Ophidiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20901
20902,"Ophidion scrippsae","basketweave cusk-eel","species","WORMS","272835","Ophidion","Ophidiinae","Ophidiidae","","","","Ophidiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20902
20905,"Lamprogrammus niger","paperbone cusk-eel","species","WORMS","126672","Lamprogrammus","Neobythitinae","Ophidiidae","","","","Ophidiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20905
20908,"Dicrolene sp.","","genus","WORMS","159129","Dicrolene","Neobythitinae","Ophidiidae","","","","Ophidiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20908
20910,"Dicrolene filamentosa","threadfin cusk-eel","species","WORMS","275892","Dicrolene","Neobythitinae","Ophidiidae","","","","Ophidiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20910
20915,"Melanonus zugmayeri","arrowtail","species","WORMS","126483","Melanonus","","Melanonidae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20915
20916,"Bassozetus zenkevitchi","pelagic assfish","species","WORMS","272795","Bassozetus","Neobythitinae","Ophidiidae","","","","Ophidiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20916
20920,"Cataetyx sp.","","genus","WORMS","125849","Cataetyx","Bythitinae","Bythitidae","","","","Ophidiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20920
20921,"Cataetyx rubrirostris","rubynose brotula","species","WORMS","272767","Cataetyx","Bythitinae","Bythitidae","","","","Ophidiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20921
20930,"Brosmophycis marginata","red brotula","species","WORMS","280000","Brosmophycis","Brosmophycinae","Bythitidae","","","","Ophidiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20930
20952,"Trachurus symmetricus","jack mackerel","species","WORMS","273305","Trachurus","","Carangidae","","","","Carangiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20952
20960,"Ceratioidei","","suborder","WORMS","154158","","","","","","Ceratioidei","Lophiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20960
20971,"Melanocetus johnsonii","common blackdevil","species","WORMS","126556","Melanocetus","","Melanocetidae","","","","Lophiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20971
20980,"Ceratiidae","seadevils unid.","family","WORMS","125487","","","Ceratiidae","","","","Lophiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20980
20981,"Cryptopsaras couesii","triplewart seadevil","species","WORMS","126538","Cryptopsaras","","Ceratiidae","","","","Lophiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20981
20990,"Cetomimidae","flabby whalefishes","family","WORMS","125460","","","Cetomimidae","","","","Beryciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20990
20995,"Rondeletia loricata","armored redmouth whalefish","species","WORMS","126412","Rondeletia","","Rondeletiidae","","","","Beryciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",20995
21000,"Chauliodontinae","viperfish unid.","subfamily","WORMS","154226","","Chauliodontinae","Stomiidae","","","","Stomiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21000
21009,"Chauliodus sp.","","genus","WORMS","126205","Chauliodus","Chauliodontinae","Stomiidae","","","","Stomiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21009
21010,"Chauliodus macouni","Pacific viperfish","species","WORMS","275055","Chauliodus","Chauliodontinae","Stomiidae","","","","Stomiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21010
21110,"Clupea pallasii","Pacific herring","species","WORMS","151159","Clupea","","Clupeidae","","","","Clupeiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21110
21120,"Alosa sapidissima","American shad","species","WORMS","158670","Alosa","","Alosidae","","","","Clupeiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21120
21130,"Sardinops sagax","Pacific sardine","species","WORMS","217452","Sardinops","","Alosidae","","","","Clupeiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21130
21150,"Gigantactis sp.","","genus","WORMS","125798","Gigantactis","","Gigantactinidae","","","","Lophiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21150
21200,"Macrouridae","grenadier unid.","family","WORMS","125471","","","Macrouridae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21200
21201,"Nezumia stelgidolepis","California grenadier","species","WORMS","272428","Nezumia","Macrourinae","Macrouridae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21201
21202,"Nezumia liolepis","smooth grenadier","species","WORMS","272416","Nezumia","Macrourinae","Macrouridae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21202
21204,"Coelorinchus scaphopsis","shoulderspot grenadier","species","WORMS","280334","Coelorinchus","Macrourinae","Macrouridae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21204
21210,"Coryphaenoides sp.","","genus","WORMS","125748","Coryphaenoides","Macrourinae","Macrouridae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21210
21220,"Coryphaenoides acrolepis","Pacific grenadier","species","WORMS","272313","Coryphaenoides","Macrourinae","Macrouridae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21220
21230,"Albatrossia pectoralis","giant grenadier","species","WORMS","236135","Albatrossia","Macrourinae","Macrouridae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21230
21232,"Coryphaenoides cinereus","popeye grenadier","species","WORMS","272326","Coryphaenoides","Macrourinae","Macrouridae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21232
21238,"Coryphaenoides filifer","filamented grenadier","species","WORMS","272331","Coryphaenoides","Macrourinae","Macrouridae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21238
21239,"Coryphaenoides longifilis","longfin grenadier","species","WORMS","272336","Coryphaenoides","Macrourinae","Macrouridae","","","","Gadiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21239
